Index,SPX
2013-05-08,1625.96
2013-05-09,1632.69
2013-05-10,1626.67
2013-05-13,1633.7
2013-05-14,1633.77
2013-05-15,1650.34
2013-05-16,1658.78
2013-05-17,1650.47
2013-05-20,1667.47
2013-05-21,1666.29
2013-05-22,1669.16
2013-05-23,1655.35
2013-05-24,1650.51
2013-05-28,1649.6
2013-05-29,1660.06
2013-05-30,1648.36
2013-05-31,1654.41
2013-06-03,1630.74
2013-06-04,1640.42
2013-06-05,1631.38
2013-06-06,1608.9
2013-06-07,1622.56
2013-06-10,1643.38
2013-06-11,1642.81
2013-06-12,1626.13
2013-06-13,1612.52
2013-06-14,1636.36
2013-06-17,1626.73
2013-06-18,1639.04
2013-06-19,1651.81
2013-06-20,1628.93
2013-06-21,1588.19
2013-06-24,1592.43
2013-06-25,1573.09
2013-06-26,1588.03
2013-06-27,1603.26
2013-06-28,1613.2
2013-07-01,1606.28
2013-07-02,1614.96
2013-07-03,1614.08
2013-07-05,1615.41
2013-07-08,1631.89
2013-07-09,1640.46
2013-07-10,1652.32
2013-07-11,1652.62
2013-07-12,1675.02
2013-07-15,1680.19
2013-07-16,1682.5
2013-07-17,1676.26
2013-07-18,1680.91
2013-07-19,1689.37
2013-07-22,1692.09
2013-07-23,1695.53
2013-07-24,1692.39
2013-07-25,1685.94
2013-07-26,1690.25
2013-07-29,1691.65
2013-07-30,1685.33
2013-07-31,1685.96
2013-08-01,1685.73
2013-08-02,1706.87
2013-08-05,1709.67
2013-08-06,1707.14
2013-08-07,1697.37
2013-08-08,1690.91
2013-08-09,1697.48
2013-08-12,1691.42
2013-08-13,1689.47
2013-08-14,1694.16
2013-08-15,1685.39
2013-08-16,1661.32
2013-08-19,1655.83
2013-08-20,1646.06
2013-08-21,1652.35
2013-08-22,1642.8
2013-08-23,1656.96
2013-08-26,1663.5
2013-08-27,1656.78
2013-08-28,1630.48
2013-08-29,1634.96
2013-08-30,1638.17
2013-09-03,1632.97
2013-09-04,1639.77
2013-09-05,1653.08
2013-09-06,1655.08
2013-09-09,1655.17
2013-09-10,1671.71
2013-09-11,1683.99
2013-09-12,1689.13
2013-09-13,1683.42
2013-09-16,1687.99
2013-09-17,1697.6
2013-09-18,1704.76
2013-09-19,1725.52
2013-09-20,1722.34
2013-09-23,1709.91
2013-09-24,1701.84
2013-09-25,1697.42
2013-09-26,1692.77
2013-09-27,1698.67
2013-09-30,1691.75
2013-10-01,1681.55
2013-10-02,1695.0
2013-10-03,1693.87
2013-10-04,1678.66
2013-10-07,1690.5
2013-10-08,1676.12
2013-10-09,1655.45
2013-10-10,1656.4
2013-10-11,1692.56
2013-10-14,1703.2
2013-10-15,1710.14
2013-10-16,1698.06
2013-10-17,1721.54
2013-10-18,1733.15
2013-10-21,1744.5
2013-10-22,1744.66
2013-10-23,1754.67
2013-10-24,1746.38
2013-10-25,1752.07
2013-10-28,1759.77
2013-10-29,1762.11
2013-10-30,1771.95
2013-10-31,1763.31
2013-11-01,1756.54
2013-11-04,1761.64
2013-11-05,1767.93
2013-11-06,1762.97
2013-11-07,1770.49
2013-11-08,1747.15
2013-11-11,1770.61
2013-11-12,1771.89
2013-11-13,1767.69
2013-11-14,1782.0
2013-11-15,1790.62
2013-11-18,1798.18
2013-11-19,1791.53
2013-11-20,1787.87
2013-11-21,1781.37
2013-11-22,1795.85
2013-11-25,1804.76
2013-11-26,1802.48
2013-11-27,1802.75
2013-11-29,1807.23
2013-12-02,1805.81
2013-12-03,1800.9
2013-12-04,1795.15
2013-12-05,1792.81
2013-12-06,1785.03
2013-12-09,1805.09
2013-12-10,1808.37
2013-12-11,1802.62
2013-12-12,1782.22
2013-12-13,1775.5
2013-12-16,1775.32
2013-12-17,1786.54
2013-12-18,1781.0
2013-12-19,1810.65
2013-12-20,1809.6
2013-12-23,1818.32
2013-12-24,1827.99
2013-12-26,1833.32
2013-12-27,1842.02
2013-12-30,1841.4
2013-12-31,1841.07
2014-01-02,1848.36
2014-01-03,1831.98
2014-01-06,1831.37
2014-01-07,1826.77
2014-01-08,1837.88
2014-01-09,1837.49
2014-01-10,1838.13
2014-01-13,1842.37
2014-01-14,1819.2
2014-01-15,1838.88
2014-01-16,1848.38
2014-01-17,1845.89
2014-01-21,1838.7
2014-01-22,1843.8
2014-01-23,1844.86
2014-01-24,1828.46
2014-01-27,1790.29
2014-01-28,1781.56
2014-01-29,1792.5
2014-01-30,1774.2
2014-01-31,1794.19
2014-02-03,1782.59
2014-02-04,1741.89
2014-02-05,1755.2
2014-02-06,1751.64
2014-02-07,1773.43
2014-02-10,1797.02
2014-02-11,1799.84
2014-02-12,1819.75
2014-02-13,1819.26
2014-02-14,1829.83
2014-02-18,1838.63
2014-02-19,1840.76
2014-02-20,1828.75
2014-02-21,1839.78
2014-02-24,1836.25
2014-02-25,1847.61
2014-02-26,1845.12
2014-02-27,1845.16
2014-02-28,1854.29
2014-03-03,1859.45
2014-03-04,1845.73
2014-03-05,1873.91
2014-03-06,1873.81
2014-03-07,1877.03
2014-03-10,1878.04
2014-03-11,1877.17
2014-03-12,1867.63
2014-03-13,1868.2
2014-03-14,1846.34
2014-03-17,1841.13
2014-03-18,1858.83
2014-03-19,1872.25
2014-03-20,1860.77
2014-03-21,1872.01
2014-03-24,1866.52
2014-03-25,1857.44
2014-03-26,1865.62
2014-03-27,1852.56
2014-03-28,1849.04
2014-03-31,1857.62
2014-04-01,1872.34
2014-04-02,1885.52
2014-04-03,1890.9
2014-04-04,1888.77
2014-04-07,1865.09
2014-04-08,1845.04
2014-04-09,1851.96
2014-04-10,1872.18
2014-04-11,1833.08
2014-04-14,1815.69
2014-04-15,1830.61
2014-04-16,1842.98
2014-04-17,1862.31
2014-04-21,1864.85
2014-04-22,1871.89
2014-04-23,1879.55
2014-04-24,1875.39
2014-04-25,1878.61
2014-04-28,1863.4
2014-04-29,1869.43
2014-04-30,1878.33
2014-05-01,1883.95
2014-05-02,1883.68
2014-05-05,1881.14
2014-05-06,1884.66
2014-05-07,1867.72
2014-05-08,1878.21
2014-05-09,1875.63
2014-05-12,1878.48
2014-05-13,1896.65
2014-05-14,1897.45
2014-05-15,1888.53
2014-05-16,1870.85
2014-05-19,1877.86
2014-05-20,1885.08
2014-05-21,1872.83
2014-05-22,1888.03
2014-05-23,1892.49
2014-05-27,1900.53
2014-05-28,1911.91
2014-05-29,1909.78
2014-05-30,1920.03
2014-06-02,1923.57
2014-06-03,1924.97
2014-06-04,1924.24
2014-06-05,1927.88
2014-06-06,1940.46
2014-06-09,1949.44
2014-06-10,1951.27
2014-06-11,1950.79
2014-06-12,1943.89
2014-06-13,1930.11
2014-06-16,1936.16
2014-06-17,1937.78
2014-06-18,1941.99
2014-06-19,1956.98
2014-06-20,1959.48
2014-06-23,1962.87
2014-06-24,1962.61
2014-06-25,1949.98
2014-06-26,1959.53
2014-06-27,1957.22
2014-06-30,1960.96
2014-07-01,1960.23
2014-07-02,1973.32
2014-07-03,1974.62
2014-07-07,1985.44
2014-07-08,1977.65
2014-07-09,1963.71
2014-07-10,1972.83
2014-07-11,1964.68
2014-07-14,1967.57
2014-07-15,1977.1
2014-07-16,1973.28
2014-07-17,1981.57
2014-07-18,1958.12
2014-07-21,1978.22
2014-07-22,1973.63
2014-07-23,1983.53
2014-07-24,1987.01
2014-07-25,1987.98
2014-07-28,1978.34
2014-07-29,1978.91
2014-07-30,1969.95
2014-07-31,1970.07
2014-08-01,1930.67
2014-08-04,1925.15
2014-08-05,1938.99
2014-08-06,1920.21
2014-08-07,1920.24
2014-08-08,1909.57
2014-08-11,1931.59
2014-08-12,1936.92
2014-08-13,1933.75
2014-08-14,1946.72
2014-08-15,1955.18
2014-08-18,1955.06
2014-08-19,1971.74
2014-08-20,1981.6
2014-08-21,1986.51
2014-08-22,1992.37
2014-08-25,1988.4
2014-08-26,1997.92
2014-08-27,2000.02
2014-08-28,2000.12
2014-08-29,1996.74
2014-09-02,2003.37
2014-09-03,2002.28
2014-09-04,2000.72
2014-09-05,1997.65
2014-09-08,2007.71
2014-09-09,2001.54
2014-09-10,1988.44
2014-09-11,1995.69
2014-09-12,1997.45
2014-09-15,1985.54
2014-09-16,1984.13
2014-09-17,1998.98
2014-09-18,2001.57
2014-09-19,2011.36
2014-09-22,2010.4
2014-09-23,1994.29
2014-09-24,1982.77
2014-09-25,1998.3
2014-09-26,1965.99
2014-09-29,1982.85
2014-09-30,1977.8
2014-10-01,1972.29
2014-10-02,1946.16
2014-10-03,1946.17
2014-10-06,1967.9
2014-10-07,1964.82
2014-10-08,1935.1
2014-10-09,1968.89
2014-10-10,1928.21
2014-10-13,1906.13
2014-10-14,1874.74
2014-10-15,1877.7
2014-10-16,1862.49
2014-10-17,1862.76
2014-10-20,1886.76
2014-10-21,1904.01
2014-10-22,1941.28
2014-10-23,1927.11
2014-10-24,1950.82
2014-10-27,1964.58
2014-10-28,1961.63
2014-10-29,1985.05
2014-10-30,1982.3
2014-10-31,1994.65
2014-11-03,2018.05
2014-11-04,2017.81
2014-11-05,2012.1
2014-11-06,2023.57
2014-11-07,2031.21
2014-11-10,2031.92
2014-11-11,2038.26
2014-11-12,2039.68
2014-11-13,2038.25
2014-11-14,2039.33
2014-11-17,2039.82
2014-11-18,2041.32
2014-11-19,2051.8
2014-11-20,2048.72
2014-11-21,2052.75
2014-11-24,2063.5
2014-11-25,2069.41
2014-11-26,2067.03
2014-11-28,2072.83
2014-12-01,2067.56
2014-12-02,2053.44
2014-12-03,2066.55
2014-12-04,2074.33
2014-12-05,2071.92
2014-12-08,2075.37
2014-12-09,2060.31
2014-12-10,2059.82
2014-12-11,2026.14
2014-12-12,2035.33
2014-12-15,2002.33
2014-12-16,1989.63
2014-12-17,1972.74
2014-12-18,2012.89
2014-12-19,2061.23
2014-12-22,2070.65
2014-12-23,2078.54
2014-12-24,2082.17
2014-12-26,2081.88
2014-12-29,2088.77
2014-12-30,2090.57
2014-12-31,2080.35
2015-01-02,2058.9
2015-01-05,2058.2
2015-01-06,2020.58
2015-01-07,2002.61
2015-01-08,2025.9
2015-01-09,2062.14
2015-01-12,2044.81
2015-01-13,2028.26
2015-01-14,2023.03
2015-01-15,2011.27
2015-01-16,1992.67
2015-01-20,2019.42
2015-01-21,2022.55
2015-01-22,2032.12
2015-01-23,2063.15
2015-01-26,2051.82
2015-01-27,2057.09
2015-01-28,2029.55
2015-01-29,2002.16
2015-01-30,2021.25
2015-02-02,1994.99
2015-02-03,2020.85
2015-02-04,2050.03
2015-02-05,2041.51
2015-02-06,2062.52
2015-02-09,2055.47
2015-02-10,2046.74
2015-02-11,2068.59
2015-02-12,2068.53
2015-02-13,2088.48
2015-02-17,2096.99
2015-02-18,2100.34
2015-02-19,2099.68
2015-02-20,2097.45
2015-02-23,2110.3
2015-02-24,2109.66
2015-02-25,2115.48
2015-02-26,2113.86
2015-02-27,2110.74
2015-03-02,2104.5
2015-03-03,2117.39
2015-03-04,2107.78
2015-03-05,2098.53
2015-03-06,2101.04
2015-03-09,2071.26
2015-03-10,2079.43
2015-03-11,2044.16
2015-03-12,2040.24
2015-03-13,2065.95
2015-03-16,2053.4
2015-03-17,2081.19
2015-03-18,2074.28
2015-03-19,2099.5
2015-03-20,2089.27
2015-03-23,2108.1
2015-03-24,2104.42
2015-03-25,2091.5
2015-03-26,2061.05
2015-03-27,2056.15
2015-03-30,2061.02
2015-03-31,2086.24
2015-04-01,2067.89
2015-04-02,2059.69
2015-04-06,2066.96
2015-04-07,2080.62
2015-04-08,2076.33
2015-04-09,2081.9
2015-04-10,2091.18
2015-04-13,2102.06
2015-04-14,2092.43
2015-04-15,2095.84
2015-04-16,2106.63
2015-04-17,2104.99
2015-04-20,2081.18
2015-04-21,2100.4
2015-04-22,2097.29
2015-04-23,2107.96
2015-04-24,2112.93
2015-04-27,2117.69
2015-04-28,2108.92
2015-04-29,2114.76
2015-04-30,2106.85
2015-05-01,2085.51
2015-05-04,2108.29
2015-05-05,2114.49
2015-05-06,2089.46
2015-05-07,2080.15
2015-05-08,2088.0
2015-05-11,2116.1
2015-05-12,2105.33
2015-05-13,2099.12
2015-05-14,2098.48
2015-05-15,2121.1
2015-05-18,2122.73
2015-05-19,2129.2
2015-05-20,2127.83
2015-05-21,2125.85
2015-05-22,2130.82
2015-05-26,2126.06
2015-05-27,2104.2
2015-05-28,2123.48
2015-05-29,2120.79
2015-06-01,2107.39
2015-06-02,2111.73
2015-06-03,2109.6
2015-06-04,2114.07
2015-06-05,2095.84
2015-06-08,2092.83
2015-06-09,2079.28
2015-06-10,2080.15
2015-06-11,2105.2
2015-06-12,2108.86
2015-06-15,2094.11
2015-06-16,2084.43
2015-06-17,2096.29
2015-06-18,2100.44
2015-06-19,2121.24
2015-06-22,2109.99
2015-06-23,2122.85
2015-06-24,2124.2
2015-06-25,2108.58
2015-06-26,2102.31
2015-06-29,2101.49
2015-06-30,2057.64
2015-07-01,2063.11
2015-07-02,2077.42
2015-07-06,2076.78
2015-07-07,2068.76
2015-07-08,2081.34
2015-07-09,2046.68
2015-07-10,2051.31
2015-07-13,2076.62
2015-07-14,2099.6
2015-07-15,2108.95
2015-07-16,2107.4
2015-07-17,2124.29
2015-07-20,2126.64
2015-07-21,2128.28
2015-07-22,2119.21
2015-07-23,2114.15
2015-07-24,2102.15
2015-07-27,2079.65
2015-07-28,2067.64
2015-07-29,2093.25
2015-07-30,2108.57
2015-07-31,2108.63
2015-08-03,2103.84
2015-08-04,2098.04
2015-08-05,2093.32
2015-08-06,2099.84
2015-08-07,2083.56
2015-08-10,2077.57
2015-08-11,2104.18
2015-08-12,2084.07
2015-08-13,2086.05
2015-08-14,2083.39
2015-08-17,2091.54
2015-08-18,2102.44
2015-08-19,2096.92
2015-08-20,2079.61
2015-08-21,2035.73
2015-08-24,1970.89
2015-08-25,1893.21
2015-08-26,1867.61
2015-08-27,1940.51
2015-08-28,1987.66
2015-08-31,1988.87
2015-09-01,1972.18
2015-09-02,1913.85
2015-09-03,1948.86
2015-09-04,1951.13
2015-09-08,1921.22
2015-09-09,1969.41
2015-09-10,1942.04
2015-09-11,1952.29
2015-09-14,1961.05
2015-09-15,1953.03
2015-09-16,1978.09
2015-09-17,1995.31
2015-09-18,1990.2
2015-09-21,1958.03
2015-09-22,1966.97
2015-09-23,1942.74
2015-09-24,1938.76
2015-09-25,1932.24
2015-09-28,1931.34
2015-09-29,1881.77
2015-09-30,1884.09
2015-10-01,1920.03
2015-10-02,1923.82
2015-10-05,1951.36
2015-10-06,1987.05
2015-10-07,1979.92
2015-10-08,1995.83
2015-10-09,2013.43
2015-10-12,2014.89
2015-10-13,2017.46
2015-10-14,2003.69
2015-10-15,1994.24
2015-10-16,2023.86
2015-10-19,2033.11
2015-10-20,2033.66
2015-10-21,2030.77
2015-10-22,2018.94
2015-10-23,2052.51
2015-10-26,2075.15
2015-10-27,2071.18
2015-10-28,2065.89
2015-10-29,2090.35
2015-10-30,2089.41
2015-11-02,2079.36
2015-11-03,2104.05
2015-11-04,2109.79
2015-11-05,2102.31
2015-11-06,2099.93
2015-11-09,2099.2
2015-11-10,2078.58
2015-11-11,2081.72
2015-11-12,2075.0
2015-11-13,2045.97
2015-11-16,2023.04
2015-11-17,2053.19
2015-11-18,2050.44
2015-11-19,2083.58
2015-11-20,2081.24
2015-11-23,2089.17
2015-11-24,2086.59
2015-11-25,2089.14
2015-11-27,2088.87
2015-11-30,2090.11
2015-12-01,2080.41
2015-12-02,2102.63
2015-12-03,2079.51
2015-12-04,2049.62
2015-12-07,2091.69
2015-12-08,2077.07
2015-12-09,2063.59
2015-12-10,2047.62
2015-12-11,2052.23
2015-12-14,2012.37
2015-12-15,2021.94
2015-12-16,2043.41
2015-12-17,2073.07
2015-12-18,2041.89
2015-12-21,2005.55
2015-12-22,2021.15
2015-12-23,2038.97
2015-12-24,2064.29
2015-12-28,2060.99
2015-12-29,2056.5
2015-12-30,2078.36
2015-12-31,2063.36
2016-01-04,2043.94
2016-01-05,2012.66
2016-01-06,2016.71
2016-01-07,1990.26
2016-01-08,1943.09
2016-01-11,1922.03
2016-01-12,1923.67
2016-01-13,1938.68
2016-01-14,1890.28
2016-01-15,1921.84
2016-01-19,1880.33
2016-01-20,1881.33
2016-01-21,1859.33
2016-01-22,1868.99
2016-01-25,1906.9
2016-01-26,1877.08
2016-01-27,1903.63
2016-01-28,1882.95
2016-01-29,1893.36
2016-02-01,1940.24
2016-02-02,1939.38
2016-02-03,1903.03
2016-02-04,1912.53
2016-02-05,1915.45
2016-02-08,1880.05
2016-02-09,1853.44
2016-02-10,1852.21
2016-02-11,1851.86
2016-02-12,1829.08
2016-02-16,1864.78
2016-02-17,1895.58
2016-02-18,1926.82
2016-02-19,1917.83
2016-02-22,1917.78
2016-02-23,1945.5
2016-02-24,1921.27
2016-02-25,1929.8
2016-02-26,1951.7
2016-02-29,1948.05
2016-03-01,1932.23
2016-03-02,1978.35
2016-03-03,1986.45
2016-03-04,1993.4
2016-03-07,1999.99
2016-03-08,2001.76
2016-03-09,1979.26
2016-03-10,1989.26
2016-03-11,1989.57
2016-03-14,2022.19
2016-03-15,2019.64
2016-03-16,2015.93
2016-03-17,2027.22
2016-03-18,2040.59
2016-03-21,2049.58
2016-03-22,2051.6
2016-03-23,2049.8
2016-03-24,2036.71
2016-03-28,2035.94
2016-03-29,2037.05
2016-03-30,2055.01
2016-03-31,2063.95
2016-04-01,2059.74
2016-04-04,2072.78
2016-04-05,2066.13
2016-04-06,2045.17
2016-04-07,2066.66
2016-04-08,2041.91
2016-04-11,2047.6
2016-04-12,2041.99
2016-04-13,2061.72
2016-04-14,2082.42
2016-04-15,2082.78
2016-04-18,2080.73
2016-04-19,2094.34
2016-04-20,2100.8
2016-04-21,2102.4
2016-04-22,2091.48
2016-04-25,2091.58
2016-04-26,2087.79
2016-04-27,2091.7
2016-04-28,2095.15
2016-04-29,2075.81
2016-05-02,2065.3
2016-05-03,2081.43
2016-05-04,2063.37
2016-05-05,2051.12
2016-05-06,2050.63
2016-05-09,2057.14
2016-05-10,2058.69
2016-05-11,2084.39
2016-05-12,2064.46
2016-05-13,2064.11
2016-05-16,2046.61
2016-05-17,2066.66
2016-05-18,2047.21
2016-05-19,2047.63
2016-05-20,2040.04
2016-05-23,2052.32
2016-05-24,2048.04
2016-05-25,2076.06
2016-05-26,2090.54
2016-05-27,2090.1
2016-05-31,2099.06
2016-06-01,2096.96
2016-06-02,2099.33
2016-06-03,2105.26
2016-06-06,2099.13
2016-06-07,2109.41
2016-06-08,2112.13
2016-06-09,2119.12
2016-06-10,2115.48
2016-06-13,2096.07
2016-06-14,2079.06
2016-06-15,2075.32
2016-06-16,2071.5
2016-06-17,2077.99
2016-06-20,2071.22
2016-06-21,2083.25
2016-06-22,2088.9
2016-06-23,2085.45
2016-06-24,2113.32
2016-06-27,2037.41
2016-06-28,2000.54
2016-06-29,2036.09
2016-06-30,2070.77
2016-07-01,2098.86
2016-07-05,2102.95
2016-07-06,2088.55
2016-07-07,2099.73
2016-07-08,2097.9
2016-07-11,2129.9
2016-07-12,2137.16
2016-07-13,2152.14
2016-07-14,2152.43
2016-07-15,2163.75
2016-07-18,2161.74
2016-07-19,2166.89
2016-07-20,2163.78
2016-07-21,2173.02
2016-07-22,2165.17
2016-07-25,2175.03
2016-07-26,2168.48
2016-07-27,2169.18
2016-07-28,2166.58
2016-07-29,2170.06
2016-08-01,2173.6
2016-08-02,2170.84
2016-08-03,2157.03
2016-08-04,2163.79
2016-08-05,2164.25
2016-08-08,2182.87
2016-08-09,2180.89
2016-08-10,2181.74
2016-08-11,2175.49
2016-08-12,2185.79
2016-08-15,2184.05
2016-08-16,2190.15
2016-08-17,2178.15
2016-08-18,2182.22
2016-08-19,2187.02
2016-08-22,2183.87
2016-08-23,2182.64
2016-08-24,2186.9
2016-08-25,2175.44
2016-08-26,2172.47
2016-08-29,2169.04
2016-08-30,2180.38
2016-08-31,2176.12
2016-09-01,2170.95
2016-09-02,2170.86
2016-09-06,2179.98
2016-09-07,2186.48
